ndc_description,ndc,nadac_per_unit,effective_date,pricing_unit,pharmacy_type_indicator,otc,explanation_code,classification_for_rate_setting,corresponding_generic_drug_nadac_per_unit,corresponding_generic_drug_effective_date,as_of_date
"ABACAVIR 300 MG TABLET",68084002121,0.61757,07/19/2023,EA,C/I,N,4,G,,,10/04/2023
"ABACAVIR 300 MG TABLET",69097051403,0.61757,07/19/2023,EA,C/I,N,4,G,,,10/04/2023
"ABACAVIR-LAMIVUDINE 600-300 MG",42385096230,2.01143,07/19/2023,EA,C/I,N,4,G,,,10/04/2023
"ABACAVIR-LAMIVUDINE 600-300 MG",65862033530,2.01143,07/19/2023,EA,C/I,N,4,G,,,10/04/2023
"ABACAVIR-LAMIVUDINE 600-300 MG",65862090030,2.01143,07/19/2023,EA,C/I,N,4,G,,,10/04/2023
"ABACAVIR-LAMIVUDINE 600-300 MG",68180028806,2.01143,07/19/2023,EA,C/I,N,4,G,,,10/04/2023
"ABACAVIR-LAMIVUDINE 600-300 MG",69097036202,2.01143,07/19/2023,EA,C/I,N,4,G,,,10/04/2023
"ABILIFY MAINTENA ER 300 MG SYR",59148004580,1946.08784,01/15/2023,EA,C/I,N,2,B,,,10/04/2023
"ABILIFY MAINTENA ER 300 MG VL",59148001870,1954.13866,01/15/2023,EA,C/I,N,2,B,,,10/04/2023
"ABILIFY MAINTENA ER 300 MG VL",59148001871,1954.13866,01/15/2023,EA,C/I,N,2,B,,,10/04/2023
"ABILIFY MAINTENA ER 400 MG SYR",59148007280,2603.06168,01/15/2023,EA,C/I,N,2,B,,,10/04/2023
"ABILIFY MAINTENA ER 400 MG VL",59148001970,2604.81627,01/15/2023,EA,C/I,N,2,B,,,10/04/2023
"ABILIFY MAINTENA ER 400 MG VL",59148001971,2604.81627,01/15/2023,EA,C/I,N,2,B,,,10/04/2023
"ABIRATERONE ACETATE 250 MG TAB",00093112589,0.91973,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ABIRATERONE ACETATE 250 MG TAB",00143959721,0.91973,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ABIRATERONE ACETATE 250 MG TAB",00378692078,0.91973,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ABIRATERONE ACETATE 250 MG TAB",00904694804,0.91973,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ABIRATERONE ACETATE 250 MG TAB",16714096301,0.91973,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ABIRATERONE ACETATE 250 MG TAB",43598035804,0.91973,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ABIRATERONE ACETATE 250 MG TAB",60219116507,0.91973,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ABIRATERONE ACETATE 250 MG TAB",60505432701,0.91973,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ABIRATERONE ACETATE 250 MG TAB",60687045511,0.91973,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ABIRATERONE ACETATE 250 MG TAB",60687045521,0.91973,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ABIRATERONE ACETATE 250 MG TAB",64679002101,0.91973,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ABIRATERONE ACETATE 250 MG TAB",64980041812,0.91973,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ABIRATERONE ACETATE 250 MG TAB",68001048907,0.91973,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ABIRATERONE ACETATE 250 MG TAB",68462013508,0.91973,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ABIRATERONE ACETATE 250 MG TAB",69238116507,0.91973,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ABIRATERONE ACETATE 250 MG TAB",71921017820,0.91973,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ABIRATERONE ACETATE 250 MG TAB",72205003092,0.91973,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ABIRATERONE ACETATE 250 MG TAB",72603011001,0.91973,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ABIRATERONE ACETATE 250 MG TAB",72606056601,0.91973,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ABIRATERONE ACETATE 250 MG TAB",82249001012,0.91973,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ABIRATERONE ACETATE 250 MG TAB",82293000110,0.91973,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ABSORICA 30 MG CAPSULE",10631011731,38.33133,07/19/2023,EA,C/I,N,4,B,17.30104,09/20/2023,10/04/2023
"ABSORICA 30 MG CAPSULE",10631011769,38.33133,07/19/2023,EA,C/I,N,4,B,17.30104,09/20/2023,10/04/2023
"ABSORICA 40 MG CAPSULE",10631011831,38.19194,07/19/2023,EA,C/I,N,4,B,14.16467,09/20/2023,10/04/2023
"ABSORICA 40 MG CAPSULE",10631011869,38.19194,07/19/2023,EA,C/I,N,4,B,14.16467,09/20/2023,10/04/2023
"ACAMPROSATE CALC DR 333 MG TAB",00378633380,0.53913,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACAMPROSATE CALC DR 333 MG TAB",00904721304,0.53913,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACAMPROSATE CALC DR 333 MG TAB",60687012125,0.53913,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACAMPROSATE CALC DR 333 MG TAB",60687012195,0.53913,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACAMPROSATE CALC DR 333 MG TAB",68382056928,0.53913,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACAMPROSATE CALC DR 333 MG TAB",68462043518,0.53913,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACARBOSE 100 MG TABLET",00054014225,0.25040,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACARBOSE 100 MG TABLET",23155014901,0.25040,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACARBOSE 100 MG TABLET",62135045590,0.25040,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACARBOSE 100 MG TABLET",64380076006,0.25040,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACARBOSE 100 MG TABLET",69543012210,0.25040,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACARBOSE 100 MG TABLET",69543012211,0.25040,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACARBOSE 25 MG TABLET",00054014025,0.15896,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACARBOSE 25 MG TABLET",23155014701,0.15896,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACARBOSE 25 MG TABLET",62135045390,0.15896,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACARBOSE 25 MG TABLET",64380075806,0.15896,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACARBOSE 25 MG TABLET",69543012010,0.15896,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACARBOSE 25 MG TABLET",69543012011,0.15896,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACARBOSE 50 MG TABLET",00054014125,0.15723,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACARBOSE 50 MG TABLET",23155014801,0.15723,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACARBOSE 50 MG TABLET",62135045490,0.15723,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACARBOSE 50 MG TABLET",64380075906,0.15723,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACARBOSE 50 MG TABLET",69543012110,0.15723,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACARBOSE 50 MG TABLET",69543012111,0.15723,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACCRUFER 30 MG CAPSULE",73059000160,8.48632,02/03/2023,EA,C/I,N,4,B,,,10/04/2023
"ACEBUTOLOL 200 MG CAPSULE",50268005011,0.68863,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACEBUTOLOL 200 MG CAPSULE",50268005015,0.68863,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACEBUTOLOL 200 MG CAPSULE",53746066901,0.68863,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACEBUTOLOL 200 MG CAPSULE",62559025501,0.68863,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACEBUTOLOL 400 MG CAPSULE",53746067001,0.89498,05/17/2023,EA,C/I,N,4,G,,,10/04/2023
"ACEBUTOLOL 400 MG CAPSULE",62559025601,0.89498,05/17/2023,EA,C/I,N,4,G,,,10/04/2023
"ACETAMINOPHEN 120 MG SUPPOS",45802073200,0.30703,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 120 MG SUPPOS",45802073230,0.30703,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 120 MG SUPPOS",45802073233,0.30703,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 160 MG/5 ML LIQ",54859080916,0.01238,09/20/2023,ML,C/I,Y,"1, 5",G,,,10/04/2023
"ACETAMINOPHEN 160 MG/5 ML LIQ",69367032316,0.01238,09/20/2023,ML,C/I,Y,"1, 5",G,,,10/04/2023
"ACETAMINOPHEN 160 MG/5 ML LIQ",69367032304,0.01819,08/23/2023,ML,C/I,Y,"4, 5",G,,,10/04/2023
"ACETAMINOPHEN 325 MG GELCAP",46122043078,0.02330,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 325 MG TABLET",00536132701,0.02330,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 325 MG TABLET",00536132706,0.02330,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 325 MG TABLET",00536132710,0.02330,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 325 MG TABLET",00904677361,0.02330,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 325 MG TABLET",49483034001,0.02330,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 325 MG TABLET",49483034010,0.02330,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 325 MG TABLET",51645070301,0.02330,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 325 MG TABLET",51645070310,0.02330,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 325 MG TABLET",51645070399,0.02330,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 325 MG TABLET",63739008702,0.02330,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 325 MG TABLET",68599467909,0.02330,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 325 MG TABLET",70000009201,0.02330,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 500 MG CAPLET",00904672024,0.03257,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 500 MG CAPLET",00904672040,0.03257,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 500 MG CAPLET",00904672051,0.03257,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 500 MG CAPLET",00904672059,0.03257,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 500 MG CAPLET",00904672060,0.03257,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 500 MG CAPLET",00904672080,0.03257,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 500 MG CAPLET",51645070501,0.03257,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 500 MG CAPLET",51645070510,0.03257,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 500 MG CAPLET",70000037301,0.03257,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 500 MG CAPLET",70000037302,0.03257,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 500 MG CAPLET",70000037303,0.03257,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 500 MG CAPLET",70000037305,0.03257,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 500 MG CAPLET",70010016105,0.03257,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 500 MG GELCAP",00536129229,0.03257,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 500 MG GELCAP",70000031201,0.03257,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 500 MG GELCAP",70000031202,0.03257,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 500 MG SOFTGEL",70000050901,0.03602,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 500 MG TABLET",00536117201,0.03257,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 500 MG TABLET",00904673059,0.03257,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 500 MG TABLET",00904673060,0.03257,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 500 MG TABLET",00904673061,0.03257,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 500 MG TABLET",00904673080,0.03257,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 500 MG TABLET",49483034101,0.03257,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 500 MG TABLET",49483034110,0.03257,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 500 MG TABLET",49483034150,0.03257,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 500 MG TABLET",51645070601,0.03257,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 500 MG TABLET",51645070610,0.03257,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 500 MG TABLET",68599468103,0.03257,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 500 MG TABLET",70000003601,0.03257,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 500 MG TABLET",70000041001,0.03257,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 500 MG TABLET",70000041002,0.03257,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN 650 MG SUPPOS",45802073000,0.28054,08/23/2023,EA,C/I,Y,4,G,,,10/04/2023
"ACETAMINOPHEN 650 MG SUPPOS",45802073030,0.28054,08/23/2023,EA,C/I,Y,4,G,,,10/04/2023
"ACETAMINOPHEN 650 MG SUPPOS",45802073032,0.28054,08/23/2023,EA,C/I,Y,4,G,,,10/04/2023
"ACETAMINOPHEN 650 MG SUPPOS",45802073033,0.28054,08/23/2023,EA,C/I,Y,4,G,,,10/04/2023
"ACETAMINOPHEN ER 650 MG CAPLET",00904688365,0.06929,08/23/2023,EA,C/I,Y,4,G,,,10/04/2023
"ACETAMINOPHEN ER 650 MG CAPLET",00904731427,0.06929,08/23/2023,EA,C/I,Y,4,G,,,10/04/2023
"ACETAMINOPHEN ER 650 MG CAPLET",00904731460,0.06929,08/23/2023,EA,C/I,Y,4,G,,,10/04/2023
"ACETAMINOPHEN ER 650 MG CAPLET",49483069901,0.06929,08/23/2023,EA,C/I,Y,4,G,,,10/04/2023
"ACETAMINOPHEN ER 650 MG CAPLET",70010016001,0.06929,08/23/2023,EA,C/I,Y,4,G,,,10/04/2023
"ACETAMINOPHEN ER 650 MG TABLET",68001049500,0.06929,08/23/2023,EA,C/I,Y,4,G,,,10/04/2023
"ACETAMINOPHEN ER 650 MG TABLET",68084077725,0.06929,08/23/2023,EA,C/I,Y,4,G,,,10/04/2023
"ACETAMINOPHEN ER 650 MG TABLET",68084077795,0.06929,08/23/2023,EA,C/I,Y,4,G,,,10/04/2023
"ACETAMINOPHEN PM CAPLET",00904673151,0.05019,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN PM CAPLET",51645070905,0.05019,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN PM CAPLET",70000041101,0.05019,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN PM CAPLET",70000041102,0.05019,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN PM CAPLET",70000041103,0.05019,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"ACETAMINOPHEN-COD #2 TABLET",00406048301,0.22285,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAMINOPHEN-COD #2 TABLET",00603233721,0.22285,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAMINOPHEN-COD #2 TABLET",13107005801,0.22285,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAMINOPHEN-COD #2 TABLET",71930005412,0.22285,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAMINOPHEN-COD #2 TABLET",71930005452,0.22285,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAMINOPHEN-COD #3 TABLET",00406048401,0.19768,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAMINOPHEN-COD #3 TABLET",00406048403,0.19768,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAMINOPHEN-COD #3 TABLET",00406048410,0.19768,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAMINOPHEN-COD #3 TABLET",00406048423,0.19768,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAMINOPHEN-COD #3 TABLET",00406048462,0.19768,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAMINOPHEN-COD #3 TABLET",00603233821,0.19768,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAMINOPHEN-COD #3 TABLET",00603233832,0.19768,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAMINOPHEN-COD #3 TABLET",13107005901,0.19768,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAMINOPHEN-COD #3 TABLET",13107005999,0.19768,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAMINOPHEN-COD #3 TABLET",60687060401,0.19768,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAMINOPHEN-COD #3 TABLET",60687060411,0.19768,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAMINOPHEN-COD #3 TABLET",65162003310,0.19768,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAMINOPHEN-COD #3 TABLET",71930005512,0.19768,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAMINOPHEN-COD #3 TABLET",71930005552,0.19768,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAMINOPHEN-COD #4 TABLET",00406048501,0.37606,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAMINOPHEN-COD #4 TABLET",00406048505,0.37606,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAMINOPHEN-COD #4 TABLET",00603233921,0.37606,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAMINOPHEN-COD #4 TABLET",00603233928,0.37606,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAMINOPHEN-COD #4 TABLET",13107006001,0.37606,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAMINOPHEN-COD #4 TABLET",13107006005,0.37606,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAMINOPHEN-COD #4 TABLET",13107006099,0.37606,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAMINOPHEN-COD #4 TABLET",60687061501,0.37606,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAMINOPHEN-COD #4 TABLET",60687061511,0.37606,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAMINOPHEN-COD #4 TABLET",71930005612,0.37606,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAMINOPHEN-COD #4 TABLET",71930005652,0.37606,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAMINOPHEN-CODEINE 120 MG-12 MG/5 ML SOLUTION",00121050404,0.01303,02/22/2023,ML,C/I,N,"4, 5",G,,,10/04/2023
"ACETAMINOPHEN-CODEINE 120 MG-12 MG/5 ML SOLUTION",00121050416,0.01449,08/23/2023,ML,C/I,N,"4, 5",G,,,10/04/2023
"ACETAMINOPHEN-CODEINE 120 MG-12 MG/5 ML SOLUTION",60432024516,0.01449,08/23/2023,ML,C/I,N,"4, 5",G,,,10/04/2023
"ACETAZOLAMIDE 125 MG TABLET",23155028701,0.15186,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAZOLAMIDE 125 MG TABLET",51672402201,0.15186,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAZOLAMIDE 125 MG TABLET",52817020010,0.15186,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAZOLAMIDE 125 MG TABLET",62135060712,0.15186,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAZOLAMIDE 125 MG TABLET",64380083306,0.15186,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAZOLAMIDE 125 MG TABLET",70756072011,0.15186,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAZOLAMIDE 125 MG TABLET",70954003330,0.15186,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAZOLAMIDE 125 MG TABLET",71930000812,0.15186,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAZOLAMIDE 125 MG TABLET",72888004701,0.15186,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAZOLAMIDE 250 MG TABLET",00527105001,0.17719,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAZOLAMIDE 250 MG TABLET",00904666361,0.17719,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAZOLAMIDE 250 MG TABLET",23155028801,0.17719,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAZOLAMIDE 250 MG TABLET",50268005411,0.17719,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAZOLAMIDE 250 MG TABLET",50268005415,0.17719,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAZOLAMIDE 250 MG TABLET",51672402301,0.17719,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAZOLAMIDE 250 MG TABLET",52817020110,0.17719,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAZOLAMIDE 250 MG TABLET",60687061901,0.17719,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAZOLAMIDE 250 MG TABLET",60687061911,0.17719,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAZOLAMIDE 250 MG TABLET",62135060812,0.17719,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAZOLAMIDE 250 MG TABLET",64380083406,0.17719,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAZOLAMIDE 250 MG TABLET",70756072111,0.17719,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAZOLAMIDE 250 MG TABLET",70954003430,0.17719,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAZOLAMIDE 250 MG TABLET",71930000912,0.17719,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAZOLAMIDE 250 MG TABLET",72888004801,0.17719,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAZOLAMIDE ER 500 MG CAP",16729033101,0.33656,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAZOLAMIDE ER 500 MG CAP",23155012001,0.33656,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAZOLAMIDE ER 500 MG CAP",23155078701,0.33656,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAZOLAMIDE ER 500 MG CAP",29033003001,0.33656,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
"ACETAZOLAMIDE ER 500 MG CAP",42571024301,0.33656,09/20/2023,EA,C/I,N,1,G,,,10/04/2023
